Department,JobRole,Age,MonthlyIncome,JobSatisfaction,OverTime,WorkLifeBalance,risk_score,risk_level,Attrition
Research & Development,Laboratory Technician,25,3691,4,Yes,4,30,Medium Risk,Yes
Research & Development,Laboratory Technician,26,2377,3,No,2,45,Medium Risk,Yes
Research & Development,Research Scientist,33,2313,2,Yes,3,70,High Risk,Yes
Research & Development,Manager,42,17665,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,28,2596,2,No,3,50,High Risk,Yes
Sales,Sales Executive,50,4728,3,Yes,3,20,Low Risk,Yes
Sales,Sales Executive,33,4302,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,34,2979,4,No,3,10,Low Risk,No
Research & Development,Manager,48,16885,4,No,2,35,Medium Risk,No
Sales,Sales Executive,45,5593,3,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,52,10445,2,No,3,50,High Risk,No
Sales,Sales Executive,38,8740,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,29,2514,4,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,28,7655,2,No,2,45,Medium Risk,No
Sales,Manager,46,17465,3,No,3,25,Medium Risk,No
Sales,Sales Executive,38,7351,2,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,43,10820,1,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,39,12169,4,No,3,25,Medium Risk,Yes
Research & Development,Research Director,40,19626,3,No,4,10,Low Risk,No
Research & Development,Research Scientist,21,2070,2,Yes,4,55,High Risk,No
Research & Development,Laboratory Technician,39,6782,2,No,2,45,Medium Risk,No
Research & Development,Manufacturing Director,36,7779,4,No,3,15,Low Risk,No
Sales,Sales Representative,31,2791,4,No,3,10,Low Risk,No
Research & Development,Research Scientist,28,3201,2,No,1,60,High Risk,No
Sales,Sales Executive,35,4968,4,No,3,0,Low Risk,No
Sales,Sales Executive,49,13120,2,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,34,4033,3,No,2,20,Low Risk,No
Research & Development,Research Scientist,29,3291,2,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,42,4272,4,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,29,5056,4,Yes,2,55,High Risk,No
Human Resources,Human Resources,38,2844,3,No,4,20,Low Risk,No
Research & Development,Research Scientist,28,2703,3,Yes,3,30,Medium Risk,No
Research & Development,Laboratory Technician,18,1904,3,No,3,10,Low Risk,Yes
Sales,Sales Executive,33,8224,1,Yes,3,60,High Risk,Yes
Research & Development,Laboratory Technician,41,4766,4,Yes,3,35,Medium Risk,No
Research & Development,Laboratory Technician,31,2610,3,No,2,30,Medium Risk,Yes
Research & Development,Healthcare Representative,37,5731,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,27,2539,3,No,3,10,Low Risk,No
Sales,Sales Executive,34,5714,3,No,2,35,Medium Risk,No
Human Resources,Human Resources,35,4323,3,No,1,20,Low Risk,No
Sales,Sales Executive,29,7336,1,No,1,45,Medium Risk,Yes
Research & Development,Research Director,40,13499,3,No,2,35,Medium Risk,No
Sales,Sales Executive,42,13758,1,Yes,2,75,High Risk,Yes
Sales,Sales Executive,42,5155,1,No,4,40,Medium Risk,No
Research & Development,Laboratory Technician,35,2258,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,24,3597,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,28,2515,4,Yes,2,50,High Risk,Yes
Research & Development,Laboratory Technician,26,4420,4,No,3,15,Low Risk,No
Sales,Sales Executive,30,6578,3,No,3,0,Low Risk,No
Research & Development,Research Scientist,40,4422,4,Yes,1,40,Medium Risk,No
Research & Development,Manufacturing Director,35,10274,2,No,4,35,Medium Risk,No
Research & Development,Healthcare Representative,34,5343,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,35,2376,4,No,4,10,Low Risk,No
Sales,Sales Executive,43,5346,3,No,2,35,Medium Risk,Yes
Sales,Sales Representative,32,2827,1,No,3,35,Medium Risk,No
Research & Development,Manager,56,19943,1,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,29,3131,4,No,3,15,Low Risk,No
Research & Development,Research Scientist,19,2552,1,No,3,35,Medium Risk,No
Research & Development,Research Scientist,45,4477,3,Yes,2,55,High Risk,No
Research & Development,Manufacturing Director,37,6474,4,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,20,3033,3,No,2,35,Medium Risk,No
Research & Development,Research Scientist,44,2936,3,Yes,3,30,Medium Risk,Yes
Research & Development,Manager,53,18606,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,29,2168,4,Yes,2,65,High Risk,No
Research & Development,Research Scientist,22,2853,4,Yes,3,30,Medium Risk,Yes
Sales,Manager,46,17048,1,No,3,35,Medium Risk,No
Research & Development,Research Scientist,44,2290,3,No,3,10,Low Risk,No
Human Resources,Human Resources,33,3600,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,41,2107,1,No,1,70,High Risk,Yes
Sales,Sales Executive,30,4115,1,No,3,25,Medium Risk,No
Sales,Sales Executive,40,4327,2,No,3,40,Medium Risk,No
Research & Development,Manager,50,17856,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,28,3196,1,No,3,25,Medium Risk,No
Research & Development,Research Director,46,19081,2,No,3,25,Medium Risk,No
Sales,Sales Executive,35,8966,1,Yes,3,45,Medium Risk,No
Research & Development,Laboratory Technician,24,2210,2,No,1,55,High Risk,Yes
Sales,Sales Executive,33,4539,3,No,2,35,Medium Risk,No
Research & Development,Laboratory Technician,36,2741,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,30,3491,3,No,2,30,Medium Risk,No
Research & Development,Research Scientist,44,4541,4,No,3,10,Low Risk,No
Sales,Sales Representative,20,2678,4,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,46,7379,4,No,2,20,Low Risk,No
Human Resources,Human Resources,42,6272,1,No,4,25,Medium Risk,No
Sales,Sales Executive,60,5220,4,Yes,3,35,Medium Risk,No
Research & Development,Laboratory Technician,32,2743,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,32,4998,3,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,36,10252,1,Yes,3,55,High Risk,No
Research & Development,Research Scientist,33,2781,4,No,3,35,Medium Risk,No
Sales,Sales Executive,40,6852,2,No,4,40,Medium Risk,No
Sales,Sales Executive,25,4950,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,30,3579,2,Yes,3,55,High Risk,No
Research & Development,Research Director,42,13191,1,Yes,3,60,High Risk,No
Sales,Sales Executive,35,10377,4,Yes,2,50,High Risk,No
Research & Development,Research Scientist,27,2235,1,Yes,2,100,High Risk,No
Research & Development,Manufacturing Director,54,10502,3,No,1,20,Low Risk,No
Research & Development,Research Scientist,44,2011,4,No,3,35,Medium Risk,No
Research & Development,Research Scientist,19,1859,2,Yes,4,70,High Risk,Yes
Research & Development,Research Scientist,29,3760,4,No,3,15,Low Risk,No
Research & Development,Research Director,54,17779,4,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,31,6833,1,Yes,2,65,High Risk,No
Research & Development,Healthcare Representative,31,6812,1,No,3,25,Medium Risk,No
Sales,Sales Executive,59,5171,4,No,3,0,Low Risk,No
Research & Development,Research Director,43,19740,4,No,3,0,Low Risk,No
Research & Development,Manager,49,18711,3,No,4,15,Low Risk,No
Research & Development,Research Scientist,36,3692,2,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,48,2559,2,No,2,55,High Risk,No
Research & Development,Research Scientist,27,2517,3,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,29,6623,4,Yes,3,20,Low Risk,No
Research & Development,Research Director,48,18265,4,No,4,0,Low Risk,No
Research & Development,Research Director,29,16124,4,No,2,20,Low Risk,No
Research & Development,Research Scientist,34,2585,3,No,2,30,Medium Risk,No
Sales,Manager,44,18213,2,No,3,40,Medium Risk,No
Sales,Sales Executive,33,8380,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,19,2994,4,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,23,1223,3,No,3,10,Low Risk,No
Sales,Sales Representative,25,1118,4,Yes,3,30,Medium Risk,Yes
Research & Development,Research Scientist,26,2875,4,Yes,2,50,High Risk,No
Sales,Manager,45,18824,2,Yes,3,60,High Risk,Yes
Research & Development,Healthcare Representative,55,13577,2,Yes,3,55,High Risk,No
Research & Development,Laboratory Technician,21,2625,3,No,1,45,Medium Risk,Yes
Sales,Manager,46,18789,2,No,3,25,Medium Risk,No
Sales,Sales Executive,34,4538,1,Yes,3,45,Medium Risk,No
Sales,Manager,51,19847,2,Yes,2,75,High Risk,No
Research & Development,Manufacturing Director,59,10512,4,No,2,30,Medium Risk,No
Research & Development,Laboratory Technician,34,4444,2,No,4,35,Medium Risk,No
Research & Development,Laboratory Technician,28,2154,3,Yes,2,50,High Risk,No
Research & Development,Manager,44,19190,1,No,2,55,High Risk,No
Human Resources,Human Resources,34,4490,2,No,4,25,Medium Risk,No
Research & Development,Research Scientist,35,3506,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,42,2372,2,Yes,3,70,High Risk,No
Sales,Sales Executive,43,10231,4,No,4,10,Low Risk,No
Research & Development,Manufacturing Director,36,5410,2,Yes,3,55,High Risk,No
Research & Development,Healthcare Representative,44,7978,4,No,3,15,Low Risk,Yes
Research & Development,Laboratory Technician,28,3867,4,Yes,3,20,Low Risk,No
Research & Development,Laboratory Technician,51,2838,3,No,2,55,High Risk,No
Research & Development,Manufacturing Director,30,4695,3,Yes,3,20,Low Risk,No
Research & Development,Laboratory Technician,29,3339,3,Yes,3,45,Medium Risk,Yes
Research & Development,Research Scientist,28,2080,1,No,2,55,High Risk,No
Research & Development,Research Scientist,25,2096,2,No,2,55,High Risk,No
Sales,Sales Executive,32,6209,4,No,4,0,Low Risk,No
Research & Development,Manager,45,18061,2,No,3,40,Medium Risk,No
Research & Development,Manager,39,17123,2,Yes,3,55,High Risk,No
Research & Development,Research Scientist,58,2372,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,32,4883,3,No,3,0,Low Risk,Yes
Research & Development,Research Scientist,39,3904,1,No,3,25,Medium Risk,Yes
Research & Development,Laboratory Technician,30,4627,4,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,36,7094,3,No,3,0,Low Risk,No
Human Resources,Human Resources,46,3423,1,No,4,35,Medium Risk,No
Research & Development,Laboratory Technician,28,6674,4,No,3,10,Low Risk,No
Research & Development,Research Director,50,16880,1,Yes,3,45,Medium Risk,No
Sales,Sales Executive,40,9094,2,Yes,3,45,Medium Risk,Yes
Sales,Sales Executive,52,8446,2,Yes,2,90,High Risk,Yes
Research & Development,Manager,30,11916,1,Yes,3,60,High Risk,No
Research & Development,Manufacturing Director,39,4534,3,No,3,15,Low Risk,No
Sales,Sales Executive,31,9852,3,Yes,2,50,High Risk,No
Sales,Sales Executive,41,6151,2,No,3,35,Medium Risk,No
Sales,Sales Representative,31,2302,2,Yes,4,55,High Risk,Yes
Research & Development,Laboratory Technician,44,2362,1,No,4,50,High Risk,Yes
Research & Development,Manager,42,17861,3,Yes,2,40,Medium Risk,No
Research & Development,Manager,55,19187,3,No,3,10,Low Risk,No
Human Resources,Manager,56,19717,2,No,3,35,Medium Risk,No
Research & Development,Research Scientist,40,3544,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,34,8500,4,No,2,20,Low Risk,No
Research & Development,Research Scientist,40,4661,4,No,3,10,Low Risk,No
Sales,Sales Executive,41,4103,1,No,3,25,Medium Risk,No
Research & Development,Research Scientist,35,4249,3,Yes,3,20,Low Risk,No
Human Resources,Manager,51,14026,2,Yes,3,45,Medium Risk,No
Sales,Sales Executive,38,6893,1,No,3,40,Medium Risk,No
Sales,Sales Executive,34,6125,1,No,4,35,Medium Risk,No
Research & Development,Laboratory Technician,25,3669,4,No,2,20,Low Risk,No
Research & Development,Manufacturing Director,58,10008,1,Yes,2,75,High Risk,Yes
Research & Development,Laboratory Technician,40,2387,2,No,3,50,High Risk,No
Sales,Sales Executive,36,4639,1,No,2,70,High Risk,No
Research & Development,Manufacturing Director,48,7898,4,No,3,0,Low Risk,No
Sales,Sales Representative,27,2534,4,No,3,10,Low Risk,No
Research & Development,Manufacturing Director,51,13142,2,No,2,45,Medium Risk,No
Research & Development,Laboratory Technician,18,1611,4,No,4,10,Low Risk,No
Research & Development,Laboratory Technician,35,5363,4,No,3,0,Low Risk,No
Sales,Sales Executive,27,5071,4,No,3,0,Low Risk,No
Sales,Sales Executive,55,13695,3,Yes,2,55,High Risk,Yes
Research & Development,Manufacturing Director,56,13402,2,Yes,3,55,High Risk,No
Research & Development,Research Scientist,34,2029,3,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,40,6377,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,34,5429,3,No,3,25,Medium Risk,No
Sales,Sales Representative,31,2785,4,No,4,10,Low Risk,Yes
Sales,Sales Executive,35,4614,3,Yes,2,40,Medium Risk,Yes
Research & Development,Research Scientist,38,2610,3,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,34,6687,4,No,4,10,Low Risk,No
Sales,Sales Executive,28,4724,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,31,6179,3,Yes,2,50,High Risk,Yes
Sales,Sales Executive,39,6120,4,Yes,4,35,Medium Risk,No
Sales,Sales Executive,51,10596,2,No,3,40,Medium Risk,No
Research & Development,Research Scientist,41,5467,4,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,37,2996,3,Yes,3,30,Medium Risk,No
Sales,Sales Executive,33,9998,4,No,4,15,Low Risk,No
Sales,Sales Executive,32,4078,2,Yes,2,65,High Risk,No
Research & Development,Healthcare Representative,39,10920,3,No,3,0,Low Risk,No
Sales,Sales Executive,25,6232,3,No,2,35,Medium Risk,No
Research & Development,Manufacturing Director,52,13247,3,Yes,2,40,Medium Risk,No
Research & Development,Research Scientist,43,4081,3,Yes,1,55,High Risk,No
Sales,Sales Executive,27,5769,4,Yes,3,30,Medium Risk,No
Research & Development,Research Scientist,27,2394,3,Yes,3,40,Medium Risk,Yes
Research & Development,Research Scientist,26,3904,4,No,3,15,Low Risk,No
Human Resources,Manager,42,16799,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,52,2950,1,No,1,55,High Risk,No
Research & Development,Laboratory Technician,37,3629,3,No,3,15,Low Risk,No
Research & Development,Manufacturing Director,35,9362,4,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,25,3229,4,No,2,35,Medium Risk,No
Research & Development,Laboratory Technician,26,3578,1,No,3,25,Medium Risk,No
Human Resources,Human Resources,29,7988,1,No,2,60,High Risk,No
Research & Development,Laboratory Technician,49,4284,1,No,3,40,Medium Risk,Yes
Research & Development,Healthcare Representative,29,7553,4,Yes,3,30,Medium Risk,Yes
Research & Development,Research Director,54,17328,4,No,2,30,Medium Risk,No
Research & Development,Research Director,58,19701,1,Yes,3,45,Medium Risk,No
Research & Development,Research Director,55,14732,4,No,4,15,Low Risk,No
Sales,Sales Executive,36,9278,2,Yes,3,60,High Risk,No
Sales,Sales Representative,31,1359,3,No,3,25,Medium Risk,Yes
Sales,Sales Executive,30,4779,1,No,3,25,Medium Risk,No
Research & Development,Research Director,31,16422,2,No,4,40,Medium Risk,No
Research & Development,Research Scientist,34,2996,1,No,3,35,Medium Risk,No
Research & Development,Research Scientist,31,1261,2,No,4,50,High Risk,Yes
Research & Development,Laboratory Technician,27,2099,1,No,4,50,High Risk,No
Research & Development,Laboratory Technician,36,5810,4,No,2,35,Medium Risk,No
Sales,Sales Executive,36,5647,1,No,2,45,Medium Risk,No
Research & Development,Research Scientist,47,3420,4,No,2,35,Medium Risk,No
Sales,Sales Representative,25,4400,1,No,3,40,Medium Risk,Yes
Research & Development,Laboratory Technician,37,3500,3,No,1,20,Low Risk,No
Research & Development,Research Scientist,56,2066,1,No,4,50,High Risk,No
Research & Development,Research Director,47,17169,3,No,4,25,Medium Risk,No
Sales,Sales Executive,24,4162,3,Yes,3,20,Low Risk,No
Sales,Sales Executive,32,9204,4,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,34,3294,2,No,2,45,Medium Risk,No
Research & Development,Research Scientist,41,2127,3,Yes,2,65,High Risk,No
Research & Development,Laboratory Technician,40,3975,3,No,4,0,Low Risk,No
Sales,Sales Executive,31,10793,4,No,3,25,Medium Risk,No
Sales,Sales Executive,46,10096,4,No,4,25,Medium Risk,Yes
Research & Development,Laboratory Technician,39,3646,1,Yes,4,60,High Risk,Yes
Research & Development,Manufacturing Director,31,7446,2,No,3,35,Medium Risk,Yes
Research & Development,Healthcare Representative,45,10851,1,Yes,3,60,High Risk,No
Human Resources,Human Resources,31,2109,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,31,3722,4,Yes,1,55,High Risk,Yes
Research & Development,Manufacturing Director,45,9380,4,Yes,4,35,Medium Risk,No
Sales,Sales Executive,48,5486,1,No,3,25,Medium Risk,No
Human Resources,Human Resources,34,2742,3,No,3,25,Medium Risk,Yes
Research & Development,Research Director,40,13757,2,No,3,35,Medium Risk,No
Sales,Sales Executive,28,8463,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,44,3162,3,No,3,0,Low Risk,No
Research & Development,Research Director,53,16598,2,No,2,55,High Risk,No
Research & Development,Healthcare Representative,49,6651,3,No,2,35,Medium Risk,No
Research & Development,Research Scientist,40,2345,3,No,4,10,Low Risk,No
Research & Development,Research Scientist,44,3420,2,No,2,45,Medium Risk,No
Sales,Sales Executive,33,4373,1,No,3,25,Medium Risk,No
Sales,Sales Executive,34,4759,1,No,3,25,Medium Risk,No
Sales,Sales Executive,30,5301,3,No,2,20,Low Risk,No
Research & Development,Laboratory Technician,42,3673,4,No,3,25,Medium Risk,No
Sales,Sales Executive,44,4768,3,No,2,35,Medium Risk,No
Research & Development,Research Scientist,30,1274,3,No,2,30,Medium Risk,No
Research & Development,Research Scientist,57,4900,3,No,2,35,Medium Risk,No
Research & Development,Healthcare Representative,49,10466,2,No,3,25,Medium Risk,No
Research & Development,Research Director,34,17007,1,No,2,70,High Risk,No
Sales,Sales Representative,28,2909,3,No,4,25,Medium Risk,Yes
Sales,Sales Executive,29,5765,2,No,1,60,High Risk,Yes
Sales,Sales Executive,34,4599,2,Yes,4,70,High Risk,Yes
Sales,Sales Representative,35,2404,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,24,3172,1,Yes,2,80,High Risk,Yes
Sales,Sales Representative,24,2033,2,No,3,35,Medium Risk,No
Research & Development,Manufacturing Director,44,10209,3,Yes,2,55,High Risk,No
Sales,Sales Executive,29,8620,3,No,3,0,Low Risk,No
Human Resources,Human Resources,30,2064,3,No,4,10,Low Risk,No
Research & Development,Healthcare Representative,55,4035,3,Yes,3,20,Low Risk,No
Research & Development,Laboratory Technician,33,3838,2,No,3,40,Medium Risk,No
Sales,Sales Executive,47,4591,3,Yes,2,40,Medium Risk,No
Research & Development,Laboratory Technician,28,2561,1,No,2,55,High Risk,Yes
Research & Development,Research Scientist,28,1563,3,No,1,45,Medium Risk,No
Sales,Sales Executive,28,4898,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,49,4789,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,29,3180,2,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,28,6549,2,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,33,6388,3,Yes,3,20,Low Risk,No
Research & Development,Manager,32,11244,4,No,4,0,Low Risk,No
Research & Development,Manager,54,16032,4,No,3,15,Low Risk,No
Research & Development,Research Scientist,29,2362,1,No,1,70,High Risk,Yes
Research & Development,Research Director,44,16328,1,No,4,35,Medium Risk,No
Research & Development,Manufacturing Director,39,8376,2,No,3,40,Medium Risk,No
Sales,Manager,46,16606,2,No,4,35,Medium Risk,No
Research & Development,Healthcare Representative,35,8606,2,No,1,45,Medium Risk,No
Research & Development,Laboratory Technician,23,2272,3,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,40,2018,1,No,1,55,High Risk,Yes
Sales,Sales Executive,34,7083,3,Yes,3,30,Medium Risk,No
Research & Development,Research Scientist,31,4084,3,No,1,30,Medium Risk,Yes
Research & Development,Research Director,50,14411,4,Yes,3,30,Medium Risk,No
Sales,Sales Representative,34,2308,3,Yes,3,55,High Risk,No
Research & Development,Laboratory Technician,42,4841,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,37,4285,4,No,3,15,Low Risk,No
Research & Development,Healthcare Representative,29,9715,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,33,4320,2,No,3,25,Medium Risk,No
Research & Development,Research Scientist,45,2132,4,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,42,10124,4,Yes,1,50,High Risk,No
Sales,Sales Executive,40,5473,1,No,4,50,High Risk,No
Research & Development,Laboratory Technician,33,5207,3,Yes,3,45,Medium Risk,No
Human Resources,Manager,40,16437,4,Yes,3,30,Medium Risk,No
Research & Development,Laboratory Technician,24,2296,1,No,3,35,Medium Risk,No
Research & Development,Healthcare Representative,40,4069,4,Yes,3,20,Low Risk,No
Research & Development,Healthcare Representative,45,7441,2,No,3,50,High Risk,No
Sales,Sales Representative,35,2430,3,No,3,35,Medium Risk,No
Research & Development,Research Scientist,32,5878,2,No,3,25,Medium Risk,No
Sales,Sales Representative,36,2644,4,Yes,2,50,High Risk,No
Sales,Sales Executive,48,6439,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,29,2451,3,No,2,30,Medium Risk,No
Sales,Sales Executive,33,6392,1,No,1,60,High Risk,No
Sales,Sales Executive,30,9714,1,No,3,50,High Risk,Yes
Human Resources,Human Resources,38,6077,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,35,2450,1,No,3,35,Medium Risk,No
Sales,Sales Executive,30,9250,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,35,2074,1,Yes,3,70,High Risk,Yes
Research & Development,Manufacturing Director,53,10169,4,No,3,0,Low Risk,Yes
Research & Development,Manufacturing Director,38,4855,2,No,3,25,Medium Risk,Yes
Research & Development,Research Scientist,32,4087,1,No,2,45,Medium Risk,No
Research & Development,Research Scientist,48,2367,1,No,2,65,High Risk,No
Research & Development,Research Scientist,34,2972,4,No,1,45,Medium Risk,No
Sales,Manager,55,19586,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,34,5484,4,No,2,35,Medium Risk,No
Research & Development,Research Scientist,26,2061,4,No,3,25,Medium Risk,No
Sales,Sales Executive,38,9924,2,No,3,35,Medium Risk,No
Sales,Sales Executive,38,4198,2,No,4,40,Medium Risk,No
Sales,Sales Executive,36,6815,3,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,29,4723,1,Yes,3,60,High Risk,No
Research & Development,Healthcare Representative,35,6142,3,Yes,3,35,Medium Risk,No
Sales,Sales Executive,39,8237,3,No,3,10,Low Risk,No
Research & Development,Healthcare Representative,29,8853,4,No,4,15,Low Risk,No
Sales,Manager,50,19331,3,Yes,3,20,Low Risk,No
Research & Development,Research Scientist,23,2073,3,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,36,5562,1,Yes,3,60,High Risk,No
Research & Development,Manager,42,19613,4,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,35,3407,3,No,2,45,Medium Risk,No
Research & Development,Healthcare Representative,34,5063,3,No,2,30,Medium Risk,No
Sales,Sales Executive,40,4639,1,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,43,4876,2,No,3,25,Medium Risk,No
Research & Development,Laboratory Technician,35,2690,4,No,2,30,Medium Risk,No
Sales,Manager,46,17567,1,No,1,45,Medium Risk,No
Research & Development,Laboratory Technician,28,2408,2,Yes,3,55,High Risk,Yes
Research & Development,Research Scientist,22,2814,3,Yes,2,65,High Risk,No
Research & Development,Healthcare Representative,50,11245,3,Yes,3,45,Medium Risk,No
Research & Development,Research Scientist,32,3312,4,No,3,15,Low Risk,No
Research & Development,Research Director,44,19049,4,Yes,2,55,High Risk,No
Research & Development,Research Scientist,30,2141,2,No,2,70,High Risk,No
Research & Development,Laboratory Technician,45,5769,1,Yes,3,45,Medium Risk,No
Sales,Sales Executive,45,4385,1,No,3,50,High Risk,No
Sales,Sales Executive,31,5332,1,No,3,25,Medium Risk,No
Research & Development,Manufacturing Director,36,4663,3,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,34,4724,4,No,3,10,Low Risk,No
Research & Development,Laboratory Technician,49,3211,1,No,2,45,Medium Risk,No
Research & Development,Manufacturing Director,39,5377,1,No,3,50,High Risk,No
Research & Development,Laboratory Technician,27,4066,1,No,3,25,Medium Risk,No
Research & Development,Research Scientist,35,5208,1,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,28,4877,1,No,2,60,High Risk,No
Research & Development,Research Scientist,21,3117,4,No,3,0,Low Risk,No
Sales,Sales Representative,18,1569,4,Yes,4,45,Medium Risk,Yes
Human Resources,Manager,47,19658,3,No,3,0,Low Risk,No
Research & Development,Laboratory Technician,39,3069,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,40,10435,3,No,3,25,Medium Risk,No
Research & Development,Healthcare Representative,35,4148,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,37,5768,3,No,2,20,Low Risk,No
Research & Development,Manufacturing Director,39,5042,3,No,1,35,Medium Risk,No
Research & Development,Manufacturing Director,45,5770,4,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,38,7756,3,Yes,4,20,Low Risk,No
Sales,Sales Executive,35,10306,1,No,3,35,Medium Risk,Yes
Research & Development,Research Scientist,37,3936,2,No,1,70,High Risk,No
Research & Development,Manufacturing Director,40,7945,4,Yes,2,40,Medium Risk,No
Human Resources,Human Resources,44,5743,4,Yes,3,35,Medium Risk,No
Research & Development,Manager,48,15202,4,No,3,0,Low Risk,No
Sales,Sales Executive,35,5440,4,Yes,2,55,High Risk,Yes
Research & Development,Research Scientist,24,3760,4,Yes,3,35,Medium Risk,No
Research & Development,Research Scientist,27,3517,3,No,3,15,Low Risk,No
Research & Development,Research Scientist,27,2580,4,No,2,30,Medium Risk,No
Research & Development,Laboratory Technician,40,2166,1,Yes,1,90,High Risk,Yes
Sales,Sales Executive,29,5869,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,36,8008,1,No,3,40,Medium Risk,No
Research & Development,Manufacturing Director,25,5206,3,No,3,0,Low Risk,No
Research & Development,Manufacturing Director,39,5295,2,No,3,25,Medium Risk,No
Research & Development,Research Director,49,16413,2,No,3,40,Medium Risk,No
Research & Development,Research Director,50,13269,1,No,3,25,Medium Risk,No
Sales,Sales Representative,20,2783,3,No,3,10,Low Risk,No
Research & Development,Research Scientist,34,5433,2,No,3,35,Medium Risk,No
Research & Development,Laboratory Technician,36,2013,2,No,3,50,High Risk,No
Research & Development,Healthcare Representative,49,13966,3,Yes,3,20,Low Risk,No
Research & Development,Manufacturing Director,36,4374,3,No,3,0,Low Risk,No
Research & Development,Healthcare Representative,36,6842,1,No,3,25,Medium Risk,No
Research & Development,Manager,54,17426,3,No,3,25,Medium Risk,No
Research & Development,Research Director,43,17603,3,No,3,10,Low Risk,No
Sales,Sales Executive,35,4581,4,Yes,4,30,Medium Risk,Yes
Research & Development,Research Scientist,38,4735,4,No,4,0,Low Risk,No
Sales,Sales Executive,29,4187,2,Yes,2,80,High Risk,No
Sales,Sales Executive,33,5505,4,No,3,0,Low Risk,No
Research & Development,Research Scientist,32,5470,2,No,2,45,Medium Risk,No
Sales,Sales Executive,31,5476,4,No,3,15,Low Risk,No
Research & Development,Laboratory Technician,49,2587,1,Yes,2,75,High Risk,No
Research & Development,Laboratory Technician,38,2440,2,No,3,35,Medium Risk,No
Sales,Manager,47,15972,2,No,3,40,Medium Risk,No
